title,area
Village de Ponta Negra - Casa Duplex em Ponta Negra - 2/4 - 73m²,80
Condomínio Plaza - Próximo ao McDonalds da Abel Cabral,R$ 280
"Excelente casa a venda no bairro do satélite, 4 quartos .",R$ 0
Grande oportunidade - Terreio,R$ 120
Linda Casa Duplex no Condomínio Lagoa Do Mato em Macaiba - RN.,R$ 260
Casa 2 em 1 com Kit Net,144
"Vende-se Casa 2/4 por trás da Marilux, Aeroporto, Mossoró-RN.",R$ 0
Casa a Venda em Cidade Satélite - 4 quartos - 4 vagas - Pitimbu - Rua Asfaltada - Quintal,R$ 670
Casa a Venda na Cidade dos Bosques com 3 suítes,300
Cobertura Duplex Sales Correia - 5 suítes - Escritório - Lazer Privativo,R$ 1.150
"Cidade das Rosas,casa em  terreno 12x20, 76m2 de área construída, 2 quartos, 1 suíte",76
"Apartamento para venda possui 108 metros , novo com preço de lançamento ! Aproveite !!!",R$ 500
"Apartamento a venda no Condomínio West Village, 2 quartos em Natal/RN.",R$ 580
Vendo Apartamento em Parnamirim,R$ 87
Casa de condomínio fechado para venda possui 300 metros quadrados com 4 quartos,300
"Apartamento, Lagoa nova, 53m2, um quarto, garagem coberta",R$ 490
"Casa com 3 dormitórios à venda, 200 m² por R$ 370.000 - Nossa Senhora de Nazaré - Natal/RN",200
Estrela de natal,R$ 300
"Apartamento Flamboyants , com 2/4, 58 M², CEF",58
"Apartamento com 3 dormitórios à venda, 174 m² por R$ 750.000 - Lagoa Nova - Natal/RN",R$ 1.200
Apartamento para venda tem 76 metros quadrados com 3 quartos,R$ 607
Cobertura duplex no In Mare Bali Praia de Cotovelo à venda,R$ 1.100
apartamento no presidente lincoln em petrópolis,R$ 660
apartamento por tras do nordestão alecrim,R$ 250
"Excelente casa a venda no satélite, com piscina . Agende uma visita !",R$ 0
"Casa em condomínio de Candelária com 3 pavimentos, 5 suítes, 460m², piscina, confira",460
Vendo apartamento 3 quartos Tirol,R$ 850
Grande Oportunidade de Compra - 2 Quartos - 2º Andar - Sombra - Vista Livre - Localização,R$ 545
apartamento plano no jardins do alto na afonso pena,R$ 550
Condomínio Stilo Oportunidade!,56
Casa escritorio galpão empresa,375
Oportunidade,R$ 72
Disponível para venda casa em Ponta Negra perto do Praia Shopping,900
"Condomínio Rio Branco: Apto 60m² , 2/4 com suíte, 3º andar (escada) e sombra.",R$ 275
"Casa Térrea, 2/4 sendo 1 suíte em Condomínio Fechado",60
Casa Duplex em Parnamirim - 2/4 - 66m² - Dois Banheiros - Jardine - Entrada em 36x,62
"Imóvel à venda com 59m², MOBILIADO em Neópolis - Natal - RN",R$ 350
Casa de condomínio para venda com 120 metros quadrados com 3 quartos,120
"Casa a venda no bairro do satélite, 3 qts . Agende uma visita !",R$ 0
Vendo 3 casa,R$ 0
O.P.O.R.T.U.N.I.D.A.D.E,450
Disponível para venda Quality Suítes Natal Ponta Negra,R$ 1.334
"Apartamento Condominio Verita II, 2 quartos, 56m2, Cidade Satelite",R$ 250
"Apartamento com 2 dormitórios à venda, 59 m² por R$ 220.000,00 - Nova Descoberta - Natal/R",R$ 430
Corais de Capim Macio,R$ 700
"Apartamento Cond. Aquarelle, 2 Quartos Sendo 1 suíte, 83m² - Nova Parnamirim",R$ 420
Vendo ou troco casa ém parnamirim *,R$ 0
"Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",R$ 1.200
